bisai_id,predict_cold
880528,normal
881051,little_cold
878984,big_cold
882579,normal
882580,normal
876653,normal
904851,little_cold
927001,normal
904835,little_cold
923298,normal
904828,little_cold
881050,big_cold
882583,little_cold
904865,normal
880543,big_cold
904803,normal
927025,normal
923305,big_cold
904826,little_cold
904064,normal
904847,little_cold
904840,little_cold
904871,little_cold
877052,big_cold
881041,big_cold
882584,normal
940177,normal
940186,normal
935783,little_cold
935988,little_cold
938092,normal
935809,normal
939835,little_cold
935986,big_cold
939542,normal
933578,little_cold
937055,normal
937058,normal
931399,big_cold
939543,normal
940184,little_cold
937889,normal
939832,normal
937062,big_cold
938090,little_cold
935985,little_cold
937056,normal
940386,big_cold
938101,normal
937048,little_cold
933629,normal
937063,normal
938682,little_cold
935623,big_cold
937052,normal
938105,normal
938098,normal
939833,big_cold
938103,big_cold
940387,little_cold
938647,little_cold
935987,normal
937054,little_cold
878729,big_cold
885830,normal
859464,normal
856898,big_cold
889230,normal
892873,normal
881420,normal
876966,normal
876472,big_cold
856281,big_cold
847634,little_cold
883743,little_cold
905759,normal
876772,little_cold
846982,little_cold
878730,normal
884385,normal
883759,big_cold
905995,little_cold
896860,big_cold
879983,normal
878633,little_cold
851213,big_cold
884998,big_cold
887623,normal
905204,little_cold
856901,normal
896863,little_cold
876769,normal
905170,normal
850246,normal
895769,little_cold
905999,little_cold
876963,little_cold
883731,normal
888947,big_cold
896864,normal
896861,normal
895468,normal
878728,big_cold
856897,big_cold
855391,normal
879879,normal
895771,big_cold
850242,normal
885002,big_cold
908799,big_cold
906002,normal
878631,little_cold
905174,normal
903744,little_cold
917102,normal
888943,normal
859508,little_cold
856288,normal
886148,big_cold
919395,big_cold
866531,big_cold
881424,little_cold
896858,little_cold
896859,normal
876962,big_cold
904672,little_cold
884337,little_cold
905761,little_cold
856582,big_cold
856900,normal
879885,big_cold
885827,normal
891471,big_cold
896082,big_cold
892868,little_cold
878635,normal
876768,normal
876398,little_cold
881418,little_cold
856896,big_cold
903743,normal
846986,normal
874737,normal
905763,normal
905764,normal
878634,big_cold
896857,normal
886157,normal
883767,normal
887617,little_cold
887627,big_cold
884997,little_cold
850248,little_cold
883754,normal
851215,normal
904684,normal
891475,normal
856282,big_cold
883756,normal
884336,normal
866540,little_cold
846985,little_cold
892869,normal
911578,little_cold
859474,big_cold
856276,normal
855382,normal
847637,big_cold
857062,big_cold
888941,big_cold
905162,big_cold
895469,little_cold
859492,normal
917101,normal
866542,little_cold
856323,normal
895768,little_cold
896083,big_cold
876489,normal
850247,little_cold
876965,normal
918833,normal
888945,normal
859498,big_cold
904042,little_cold
883760,normal
895772,big_cold
874746,big_cold
859506,little_cold
918834,normal
906341,little_cold
892870,little_cold
859485,little_cold
856899,normal
850245,normal
919392,normal
895765,big_cold
859442,little_cold
891473,big_cold
855386,big_cold
906339,big_cold
895766,big_cold
895767,big_cold
846979,normal
887622,little_cold
876569,normal
895474,little_cold
885368,normal
884674,normal
866550,little_cold
883746,normal
885357,little_cold
888949,normal
859489,little_cold
859487,big_cold
886155,normal
846983,little_cold
891477,normal
905977,little_cold
850244,big_cold
905994,big_cold
856287,normal
857090,big_cold
896085,normal
911571,normal
878636,big_cold
874739,normal
885837,big_cold
903778,normal
879881,normal
878632,big_cold
918839,normal
850241,normal
919394,normal
895764,normal
889232,little_cold
851221,little_cold
891469,little_cold
868028,normal
905997,normal
896081,normal
919391,big_cold
851239,little_cold
884672,big_cold
883732,big_cold
895770,little_cold
859475,big_cold
850243,normal
919393,normal
895467,big_cold
856212,normal
896865,little_cold
847635,big_cold
875622,little_cold
905906,big_cold
884472,normal
876448,big_cold
894658,little_cold
931093,little_cold
885131,big_cold
905268,big_cold
877193,normal
897553,little_cold
938627,normal
937733,normal
885423,big_cold
904971,normal
937951,little_cold
937745,big_cold
935748,big_cold
896238,little_cold
891673,big_cold
889335,little_cold
937734,normal
937741,big_cold
936601,normal
937746,big_cold
883088,normal
930471,normal
937740,normal
895608,normal
896233,little_cold
889322,normal
906270,normal
933744,normal
928370,normal
896329,big_cold
951061,little_cold
950622,normal
951984,little_cold
951055,little_cold
946541,normal
930578,normal
929824,big_cold
951315,big_cold
934112,little_cold
937291,big_cold
951271,little_cold
929806,big_cold
906282,big_cold
946538,little_cold
929171,normal
938749,big_cold
946543,big_cold
944743,normal
951474,normal
939488,little_cold
950623,normal
929830,big_cold
951391,normal
906016,big_cold
885371,normal
895786,little_cold
888966,little_cold
868020,normal
866569,big_cold
856223,little_cold
878921,normal
896870,big_cold
857109,big_cold
895782,big_cold
878741,normal
895784,little_cold
879906,normal
869007,normal
847664,little_cold
879900,little_cold
904046,normal
879902,big_cold
891501,normal
920132,normal
892899,big_cold
856590,little_cold
876994,normal
885841,normal
846995,normal
885013,big_cold
881439,little_cold
859517,normal
885840,little_cold
856593,little_cold
905141,big_cold
851235,normal
850264,normal
868103,normal
892902,little_cold
878649,normal
847000,big_cold
878653,big_cold
859527,normal
851232,normal
850268,big_cold
876426,big_cold
895788,big_cold
878650,normal
888970,big_cold
850273,normal
906036,normal
878737,little_cold
860906,normal
895475,normal
850266,little_cold
896102,normal
885014,normal
857106,normal
886229,normal
866534,normal
857108,big_cold
895781,normal
918868,big_cold
889242,normal
896875,big_cold
867981,little_cold
859531,big_cold
856229,little_cold
847654,little_cold
886222,normal
896873,big_cold
856227,normal
878654,little_cold
850265,normal
868144,normal
906028,little_cold
884696,normal
850270,normal
874756,big_cold
888965,big_cold
868149,normal
859509,normal
896886,little_cold
891498,normal
851237,little_cold
885833,normal
876778,normal
896872,normal
859524,big_cold
888960,little_cold
878739,normal
856588,normal
896100,normal
896876,big_cold
878652,normal
903761,big_cold
878647,little_cold
881440,normal
859530,big_cold
895479,big_cold
866532,normal
896104,little_cold
859526,normal
876649,normal
892900,little_cold
885845,big_cold
847001,big_cold
847002,normal
850271,little_cold
884358,little_cold
905776,normal
876494,normal
860914,little_cold
904045,big_cold
876782,normal
856295,normal
876648,big_cold
889244,little_cold
906343,normal
868146,big_cold
895476,big_cold
879909,big_cold
859529,big_cold
856233,big_cold
903780,little_cold
850267,normal
891500,normal
892901,little_cold
866535,normal
851238,little_cold
891505,normal
896878,normal
859535,little_cold
884690,little_cold
920092,little_cold
906030,little_cold
885380,normal
895787,big_cold
920096,big_cold
856231,normal
860913,normal
847647,little_cold
911575,little_cold
886221,big_cold
884380,normal
905769,big_cold
921382,little_cold
905777,little_cold
876995,little_cold
891503,big_cold
856226,normal
850269,little_cold
888969,little_cold
850272,normal
876595,normal
885019,big_cold
892897,little_cold
896871,normal
860912,little_cold
