bisai_id,prediction
880528,0
881051,1
878984,1
882579,0
882580,0
876653,0
904851,1
927001,2
904835,1
923298,0
904828,1
881050,1
882583,1
904865,0
880543,1
904803,0
927025,0
923305,0
904826,1
904064,0
904847,1
904840,1
904871,1
877052,0
881041,0
882584,0
940177,0
940186,0
935783,0
935988,1
938092,0
935809,2
939835,1
935986,0
939542,0
933578,0
937055,0
937058,0
931399,1
939543,0
940184,1
937889,0
939832,0
937062,1
938090,1
935985,1
937056,0
940386,0
938101,0
937048,1
933629,0
937063,0
938682,1
935623,1
937052,0
938105,0
938098,0
939833,0
938103,0
940387,1
938647,1
935987,0
937054,1
878729,1
885830,0
859464,0
856898,0
889230,0
892873,0
881420,0
876966,0
876472,0
856281,1
847634,1
883743,1
905759,0
876772,1
846982,0
878730,0
884385,0
883759,1
905995,1
896860,1
879983,2
878633,1
851213,1
884998,1
887623,0
905204,1
856901,0
896863,1
876769,0
905170,0
850246,0
895769,1
905999,1
876963,1
883731,0
888947,1
896864,2
896861,0
895468,0
878728,1
856897,1
855391,0
879879,1
895771,1
850242,0
885002,1
908799,0
906002,0
878631,1
905174,0
903744,1
917102,0
888943,0
859508,1
856288,0
886148,1
919395,1
866531,0
881424,1
896858,1
896859,0
876962,0
904672,1
884337,1
905761,1
856582,1
856900,0
879885,0
885827,0
891471,0
896082,0
892868,1
878635,0
876768,0
876398,1
881418,1
856896,0
903743,0
846986,0
874737,0
905763,0
905764,2
878634,1
896857,0
886157,0
883767,0
887617,1
887627,1
884997,1
850248,1
883754,0
851215,0
904684,0
891475,0
856282,1
883756,0
884336,0
866540,0
846985,1
892869,0
911578,1
859474,0
856276,0
855382,0
847637,0
857062,1
888941,1
905162,0
895469,1
859492,2
917101,2
866542,1
856323,0
895768,1
896083,0
876489,2
850247,1
876965,2
918833,0
888945,0
859498,1
904042,1
883760,2
895772,1
874746,1
859506,1
918834,1
906341,1
892870,1
859485,1
856899,0
850245,0
919392,2
895765,1
859442,1
891473,1
855386,1
906339,0
895766,1
895767,1
846979,0
887622,1
876569,0
895474,1
885368,2
884674,0
866550,1
883746,1
885357,0
888949,0
859489,1
859487,1
886155,0
846983,0
891477,2
905977,1
850244,1
905994,0
856287,2
857090,1
896085,0
911571,0
878636,1
874739,0
885837,1
903778,0
879881,0
878632,1
918839,0
850241,0
919394,0
895764,0
889232,1
851221,1
891469,1
868028,0
905997,0
896081,0
919391,1
851239,1
884672,1
883732,0
895770,1
859475,0
850243,0
919393,2
895467,0
856212,0
896865,1
847635,0
875622,1
905906,0
884472,0
876448,1
894658,1
931093,1
885131,1
905268,0
877193,2
897553,0
938627,0
937733,2
885423,1
904971,0
937951,1
937745,1
935748,1
896238,0
891673,0
889335,1
937734,2
937741,0
936601,0
937746,0
883088,2
930471,0
937740,2
895608,1
896233,1
889322,0
906270,0
933744,0
928370,0
896329,0
951061,1
950622,0
951984,1
951055,1
946541,0
930578,0
929824,1
951315,1
934112,1
937291,1
951271,0
929806,1
906282,1
946538,1
929171,0
938749,1
946543,1
944743,0
951474,0
939488,1
950623,0
929830,1
951391,0
906016,0
885371,0
895786,1
888966,0
868020,0
866569,1
856223,0
878921,0
896870,0
857109,0
895782,1
878741,0
895784,1
879906,0
869007,0
847664,1
879900,0
904046,1
879902,1
891501,0
920132,0
892899,0
856590,0
876994,0
885841,2
846995,0
885013,1
881439,1
859517,0
885840,1
856593,1
905141,0
851235,0
850264,0
868103,0
892902,1
878649,0
847000,1
878653,1
859527,0
851232,2
850268,1
876426,0
895788,0
878650,0
888970,1
850273,0
906036,0
878737,0
860906,0
895475,2
850266,0
896102,0
885014,0
857106,0
886229,0
866534,0
857108,1
895781,0
918868,0
889242,2
896875,1
867981,1
859531,1
856229,1
847654,1
886222,0
896873,1
856227,0
878654,1
850265,0
868144,0
906028,1
884696,0
850270,0
874756,0
888965,0
868149,0
859509,0
896886,1
891498,0
851237,0
885833,2
876778,1
896872,0
859524,1
888960,0
878739,0
856588,0
896100,0
896876,0
878652,0
903761,0
878647,0
881440,0
859530,0
895479,0
866532,0
896104,0
859526,0
876649,0
892900,1
885845,1
847001,1
847002,0
850271,1
884358,1
905776,0
876494,0
860914,1
904045,0
876782,2
856295,0
876648,0
889244,1
906343,0
868146,1
895476,1
879909,0
859529,1
856233,1
903780,1
850267,1
891500,0
892901,1
866535,0
851238,1
891505,0
896878,0
859535,1
884690,1
920092,1
906030,1
885380,0
895787,1
920096,1
856231,0
860913,0
847647,1
911575,1
886221,1
884380,0
905769,0
921382,1
905777,1
876995,1
891503,0
856226,2
850269,1
888969,1
850272,0
876595,2
885019,1
892897,1
896871,2
860912,1
921323,0
886224,0
851236,0
846996,1
905188,0
905774,1
868029,0
847656,1
874764,1
920110,1
874754,0
906336,1
895783,1
906017,1
851233,1
856291,1
916402,2
915638,2
916478,1
916479,0
867987,0
916476,1
816017,0
914656,0
816009,2
816016,0
915637,1
918967,2
915643,0
916481,1
916482,0
916484,1
914645,2
868009,1
910864,0
915639,0
915636,2
920349,0
916480,0
915642,0
916485,1
915641,0
919488,2
915640,0
916477,0
922109,0
880464,1
922538,1
880468,0
922592,0
919945,0
919947,2
919956,1
877068,0
922020,0
923976,0
923977,1
921987,1
922582,0
923291,1
880523,0
923931,0
925086,1
877058,1
880469,0
880481,1
880473,1
923930,2
880500,1
925704,0
925057,2
925195,0
922579,0
925834,2
925192,1
925707,1
923928,0
925706,2
880471,1
906360,0
919955,0
925054,1
880467,1
925196,0
883042,1
932938,1
880627,0
932936,0
875566,0
882998,0
883003,1
904918,0
911601,0
932940,1
882996,0
885095,0
932939,1
882997,0
930447,0
879982,0
927881,1
875564,0
931867,0
883045,0
930407,1
932937,1
927806,1
895890,0
886285,1
875571,1
931869,0
927887,0
874933,0
930463,0
932294,2
932378,1
875573,0
883029,1
883067,0
885096,1
923207,0
876520,0
875563,1
885098,1
932363,0
884792,0
875570,0
932312,0
931325,1
875565,1
889309,0
932337,0
883036,0
931038,1
875567,1
927925,0
883035,0
895576,0
889317,1
935950,1
929429,1
936448,1
932399,0
935951,0
925778,0
891556,2
933464,0
936421,0
935948,0
936142,1
932401,1
932404,0
929731,0
935955,0
925771,0
932400,1
936462,0
934816,0
925777,0
932406,0
933374,0
925774,0
936454,0
930658,1
933549,1
925766,0
936259,0
936458,0
921566,0
933592,0
929736,0
933467,0
936450,0
936424,0
929452,0
934603,1
932405,0
936453,0
936449,1
936451,0
936461,1
930680,1
880581,0
886274,2
925972,0
928495,1
922613,1
927837,0
928840,2
878947,0
922573,0
929449,0
928494,1
925035,0
930657,0
931330,0
886271,0
886275,1
929457,0
931066,1
922575,0
931361,0
928786,0
931071,1
930991,1
931356,0
931381,0
929433,0
931331,2
931380,2
927784,0
931360,2
928604,2
926331,0
931317,1
930976,1
929668,0
928512,1
925974,0
