bisai,result
868060,win
877295,win
874125,win
874341,lose
864579,win
885311,lose
885497,lose
885498,draw
876177,lose
883557,lose
884592,lose
885313,lose
884577,lose
884581,lose
862621,draw
862622,win
862628,win
862629,win
862630,draw
883551,lose
885265,draw
885266,win
885314,win
862520,draw
876306,win
884576,win
885267,win
865548,lose
876041,draw
854888,draw
856503,lose
876037,win
877421,draw
878173,win
883854,lose
884582,draw
885268,lose
885269,lose
885304,draw
876039,lose
876314,win
885270,lose
846885,lose
876040,lose
876317,lose
885271,win
885275,win
885278,lose
885523,lose
852961,win
876178,draw
852949,win
852962,win
863826,lose
885282,lose
885495,win
876058,win
873486,draw
868866,draw
871245,win
850095,win
871242,draw
885542,lose
850096,draw
864582,lose
864571,lose
883877,win
850955,lose
850956,win
850960,lose
850961,win
855812,lose
855805,lose
863226,lose
863233,lose
863236,lose
863237,draw
863239,win
863240,win
883914,win
885560,lose
876362,win
881885,win
883546,win
885499,win
885524,lose
855809,win
876329,win
882238,win
885496,lose
885526,win
855803,lose
858347,lose
876283,win
876294,win
876351,draw
885284,lose
885285,win
885286,win
885287,lose
885288,draw
885289,win
885525,win
858292,lose
865435,win
876291,draw
881884,win
856807,lose
856810,win
856811,win
856992,lose
856997,lose
858289,lose
858290,lose
858293,win
858294,win
858336,lose
858349,win
858352,win
865438,win
861285,win
861299,lose
862222,lose
871831,win
875122,win
860827,win
860830,win
860831,win
861284,draw
861296,win
855321,lose
875117,win
875118,lose
875120,draw
885502,lose
885503,lose
885543,win
885550,win
883555,draw
885566,win
851132,win
854887,win
855318,lose
856504,draw
856505,lose
856507,draw
871835,lose
876124,win
876126,draw
876127,win
876130,win
882225,win
885501,lose
885506,draw
885507,win
885508,lose
885539,win
885702,draw
875119,win
846889,win
885570,lose
847547,win
847552,draw
847553,win
847565,draw
847566,win
853916,draw
853917,draw
874343,lose
876038,lose
876185,lose
876273,win
881838,lose
881879,win
885551,lose
885552,win
885553,lose
885554,draw
885555,draw
885556,win
885557,win
885558,lose
885561,draw
885571,lose
865613,win
885559,win
865547,draw
871837,draw
876308,lose
880151,lose
882244,win
882261,draw
884566,win
884578,win
885500,lose
885562,win
885563,draw
885564,lose
885565,lose
885703,lose
885572,lose
876258,win
885530,lose
885532,lose
885569,win
881878,win
846883,draw
847550,win
854891,lose
865556,draw
882228,win
885527,draw
885528,win
885529,win
885567,win
885568,draw
885704,lose
871836,draw
883868,draw
876320,lose
865551,win
883896,win
853918,win
852966,win
863829,win
863830,lose
867967,draw
868861,lose
868862,win
868863,win
868867,lose
876059,draw
868868,win
883227,win
878519,lose
850098,win
867828,win
883221,win
883226,draw
883858,lose
868864,win
873496,win
876153,lose
850097,draw
868865,win
850099,win
873491,win
877297,draw
885621,lose
861665,draw
861675,win
861674,win
859321,win
885633,draw
885634,win
862298,win
862300,win
860832,lose
855798,win
862301,win
862302,win
873826,lose
876133,win
861303,lose
856809,win
859310,draw
859324,draw
859326,lose
859328,lose
859356,draw
859361,win
885517,draw
885586,lose
857651,win
857656,draw
859362,win
885588,win
856808,draw
856991,win
857654,win
857657,win
857659,draw
859281,lose
859286,win
876132,lose
857653,win
859364,draw
857666,draw
876122,lose
861283,lose
860829,lose
860833,lose
860834,lose
860835,win
861301,win
861304,win
862230,draw
883560,lose
885587,win
885604,win
862221,win
884589,win
862216,win
876285,lose
885590,draw
885592,draw
885623,lose
885626,lose
875121,lose
