bisai_id,cold,win,draw,lose
880528,normal,1.62,5.08,9.49
881051,normal,2.2,3.6,3.75
878984,normal,2.76,3.6,2.72
882579,normal,1.9,3.86,4.83
882580,normal,1.85,4.0,4.8
876653,normal,1.95,3.95,5.3
904851,little_cold,2.38,3.3,4.0
927001,normal,16.25,7.5,1.26
904835,big_cold,3.4,3.2,2.61
923298,normal,1.17,9.0,39.0
904828,normal,2.65,3.2,3.22
881050,normal,3.1,3.42,3.04
882583,normal,2.38,3.57,3.62
904865,normal,1.83,3.55,6.55
880543,normal,2.8,3.5,2.95
904803,normal,1.75,4.0,8.0
927025,normal,1.85,4.0,6.4
923305,normal,4.86,3.6,1.91
904826,big_cold,2.43,3.4,3.75
904064,normal,2.12,3.45,5.42
904847,normal,2.7,3.1,3.42
904840,normal,2.3,3.4,3.86
904871,little_cold,2.55,3.5,4.0
877052,little_cold,5.4,3.82,2.25
881041,little_cold,4.65,3.6,3.2
882584,normal,1.76,4.1,6.0
940177,normal,1.67,5.0,6.18
940186,normal,1.5,6.5,23.0
935783,normal,3.64,4.26,2.27
935988,big_cold,2.84,3.6,3.98
938092,normal,1.4,11.75,29.0
935809,normal,11.5,6.2,1.38
939835,little_cold,2.9,3.5,3.6
935986,big_cold,3.42,3.38,2.7
939542,normal,1.45,6.0,12.0
933578,normal,3.32,3.5,2.9
937055,normal,1.92,4.35,6.0
937058,normal,2.85,3.83,6.25
931399,big_cold,2.34,4.0,3.15
939543,normal,1.45,5.7,13.0
940184,big_cold,2.22,4.15,4.2
937889,normal,1.18,8.45,21.0
939832,big_cold,2.75,3.85,3.03
937062,big_cold,3.4,3.8,3.8
938090,normal,2.51,3.51,4.37
935985,big_cold,2.74,3.3,3.94
937056,normal,1.41,6.5,17.0
940386,normal,4.56,3.85,2.3
938101,little_cold,1.78,7.6,16.0
937048,normal,5.0,3.75,3.2
933629,normal,1.5,6.0,7.5
937063,normal,2.02,3.8,5.6
938682,big_cold,3.36,3.35,3.1
935623,big_cold,2.65,3.5,2.75
937052,normal,1.7,4.7,8.0
938105,normal,1.33,6.5,14.5
938098,normal,1.87,6.5,12.0
939833,normal,5.0,4.3,2.15
938103,big_cold,7.0,3.9,2.57
940387,normal,2.15,3.7,4.2
938647,little_cold,2.29,3.5,4.2
935987,normal,1.36,7.8,21.0
937054,little_cold,3.2,3.65,3.8
