,bisai,host,guest
0,681079,4,0
1,728617,1,0
2,734932,0,0
3,764529,1,0
4,714028,3,2
5,716027,1,0
6,714006,1,2
7,760294,3,4
8,764609,1,1
9,760292,3,1
10,764527,0,0
11,705694,5,1
12,764610,1,2
13,763365,1,2
14,763367,1,2
15,763371,1,1
16,705695,1,1
17,722528,2,1
18,716531,1,0
19,717696,1,1
20,717788,2,2
21,717796,2,4
22,728088,0,4
23,731201,3,1
24,738027,1,1
25,738029,3,1
26,738031,0,0
27,738035,2,1
28,738038,2,1
29,738048,1,0
30,738051,2,4
31,761814,2,0
32,762654,1,0
33,715047,1,0
34,716547,2,0
35,738965,6,1
36,739053,3,2
37,753484,1,0
38,734150,2,0
39,738033,1,2
40,738900,1,0
41,739013,0,1
42,739075,2,0
43,739080,2,0
44,739087,0,2
45,739092,0,0
46,739141,3,0
47,739165,1,1
48,739186,0,0
49,740468,0,1
50,745766,0,0
51,745768,1,2
52,745776,0,0
53,745792,2,1
54,753483,2,2
55,756689,1,1
56,756699,0,2
57,756701,3,1
58,763269,2,3
59,763270,0,5
60,720357,2,0
61,739059,1,1
62,740466,0,1
63,753482,1,3
64,704902,1,1
65,712787,3,1
66,743298,1,1
67,743299,0,0
68,745672,3,1
69,745673,1,0
70,745675,2,1
71,745677,0,0
72,745680,3,0
73,745681,1,2
74,745687,2,0
75,745689,5,0
76,745758,1,2
77,745759,0,0
78,745773,0,2
79,745780,1,3
80,750136,2,0
81,753480,0,2
82,710930,1,1
83,712799,0,2
84,717781,3,7
85,717784,4,2
86,717790,1,2
87,717795,1,4
88,723547,0,4
89,728061,2,2
90,728064,1,0
91,728067,0,2
92,728072,3,3
93,728073,2,1
94,728076,3,0
95,728079,1,1
96,728083,2,1
97,728086,5,1
98,730631,0,0
99,730632,1,1
100,730639,0,2
101,730642,5,0
102,742726,1,3
103,745073,1,0
104,745077,0,4
105,745078,3,0
106,745080,4,0
107,745081,0,2
108,745082,0,2
109,753485,2,1
110,709934,0,2
111,709938,1,3
112,709939,0,0
113,714579,0,0
114,714580,0,1
115,714581,1,1
116,714586,2,0
117,714590,1,1
118,714593,1,1
119,723550,3,1
120,726027,3,0
121,726032,1,1
122,753481,1,5
123,764647,3,0
124,764648,3,3
125,751856,0,7
126,751857,1,1
127,704124,4,2
128,704125,0,1
129,763113,3,0
130,702655,1,0
131,703809,0,1
132,711337,0,0
133,711351,1,0
134,712037,1,1
135,712416,1,0
136,712427,2,0
137,714323,1,1
138,714325,1,6
139,714336,1,3
140,714345,3,0
141,715127,1,1
142,716535,1,2
143,716541,0,0
144,716544,1,2
145,716668,2,3
146,717694,0,2
147,717697,1,3
148,717786,0,0
149,722516,0,1
150,722523,1,1
151,722539,3,1
152,722548,3,1
153,722559,0,0
154,728118,3,3
155,729250,0,1
156,729266,2,0
157,729267,0,0
158,729273,0,7
159,730378,2,0
160,730455,1,2
161,730469,2,7
162,735652,3,3
163,735658,2,0
164,735660,1,0
165,735664,3,3
166,735665,2,2
167,735667,7,2
168,736041,0,4
169,738161,2,3
170,742725,3,0
171,742920,2,0
172,763268,1,1
173,764068,2,1
174,764069,0,1
175,764249,0,5
176,764634,2,3
177,764652,2,0
178,764758,0,0
179,764759,0,1
180,764761,2,4
181,704524,2,2
182,704898,0,5
183,704906,1,2
184,705991,0,3
185,719568,0,2
186,721577,0,1
187,722846,1,3
188,722853,1,2
189,722854,1,3
190,722855,1,2
191,722859,2,0
192,722860,1,2
193,722861,2,0
194,722863,0,3
195,722865,1,1
196,728111,1,4
197,730104,0,2
198,730107,2,2
199,730114,3,1
200,730121,1,3
201,735623,1,0
202,735626,0,2
203,735627,2,0
204,735628,3,0
205,735629,3,2
206,735631,2,2
207,735633,3,2
208,735636,1,2
209,742728,1,2
210,742731,2,8
211,742732,1,1
212,747465,1,2
213,747498,2,1
214,747499,4,1
215,747980,2,2
216,747984,0,2
217,747994,2,2
218,747997,0,0
219,748015,3,0
220,748017,1,0
221,748023,2,1
222,748024,0,4
223,748026,3,0
224,748029,2,0
225,748031,1,1
226,748033,3,0
227,748036,2,2
228,748037,3,3
229,748039,0,1
230,748041,1,1
231,748042,0,1
232,748048,2,1
233,748051,1,2
234,748052,1,1
235,748055,3,4
236,748056,2,1
237,748058,1,2
238,748059,1,0
239,748066,2,1
240,748067,3,2
241,748068,1,2
242,748069,1,2
243,748070,2,1
244,748077,0,2
245,748079,2,2
246,748082,1,0
247,748084,0,0
248,748086,3,1
249,748090,2,0
250,748097,0,1
251,748098,2,1
252,748099,0,1
253,748100,3,0
254,748102,1,1
255,748106,3,2
256,748107,2,1
257,748109,0,0
258,748111,1,0
259,748113,1,0
260,748117,2,0
261,748122,3,0
262,748126,4,0
263,748127,2,1
264,748128,3,1
265,748132,3,0
266,748734,3,2
267,748735,2,1
268,748769,1,0
269,749142,5,0
270,749380,2,0
271,752067,2,1
272,752069,2,1
273,752071,2,3
274,752073,5,2
275,752075,2,0
276,752077,4,0
277,752079,2,0
278,752081,3,1
279,752083,0,0
280,757108,1,0
281,759242,1,3
282,760183,2,1
283,713162,1,2
284,713787,1,1
285,713939,1,0
286,714328,0,0
287,714331,0,0
288,715543,5,0
289,715565,1,4
290,721357,0,4
291,728889,2,0
292,730105,4,3
293,736707,2,1
294,736709,0,4
295,736718,0,3
296,736721,2,0
297,736723,0,0
298,737019,1,0
299,746480,2,1
300,746481,1,1
301,746492,1,1
302,748141,2,2
303,763460,2,2
304,763463,0,2
305,730135,2,0
306,708839,3,0
307,709619,1,0
308,712999,1,2
309,714875,1,3
310,730127,0,3
311,730137,2,2
312,748083,7,2
313,764668,3,1
314,764669,1,2
315,764670,1,4
316,764671,0,1
317,764672,1,1
318,764673,1,1
319,764674,1,2
320,764675,1,0
321,764676,3,0
322,704119,1,2
323,711774,2,1
324,720349,0,1
325,720350,1,1
326,720353,1,1
327,720358,3,0
