bisai,host,guest
868060,5,3.0
877295,2,0.0
874125,2,1.0
874341,1,3.0
864579,1,0.0
885311,0,1.0
885497,0,1.0
885498,2,2.0
876177,0,1.0
883557,1,2.0
884592,1,2.0
885313,1,2.0
884577,0,3.0
884581,0,2.0
862621,1,1.0
862622,1,0.0
862628,1,0.0
862629,2,0.0
862630,0,0.0
883551,2,4.0
885265,1,1.0
885266,2,1.0
885314,3,2.0
862520,0,0.0
876306,1,0.0
884576,2,0.0
885267,2,1.0
865548,0,1.0
876041,1,1.0
854888,0,0.0
856503,1,3.0
876037,1,0.0
877421,1,1.0
878173,3,2.0
883854,0,2.0
884582,1,1.0
885268,0,5.0
885269,1,2.0
885304,2,2.0
876039,1,4.0
876314,3,1.0
885270,0,3.0
846885,2,4.0
876040,0,3.0
876317,0,1.0
885271,4,2.0
885275,1,0.0
885278,0,4.0
885523,0,4.0
852961,2,0.0
876178,1,1.0
852949,2,0.0
852962,5,1.0
863826,0,5.0
885282,2,3.0
885495,1,0.0
876058,3,1.0
873486,1,1.0
868866,0,0.0
871245,1,0.0
850095,1,0.0
871242,2,2.0
885542,3,5.0
850096,1,1.0
864582,0,1.0
864571,0,5.0
883877,1,0.0
850955,1,2.0
850956,3,2.0
850960,0,4.0
850961,6,1.0
855812,0,4.0
855805,1,5.0
863226,0,1.0
863233,0,1.0
863236,0,4.0
863237,0,0.0
863239,2,1.0
863240,3,0.0
883914,1,0.0
885560,0,2.0
876362,9,0.0
881885,3,2.0
883546,3,1.0
885499,2,1.0
885524,0,1.0
855809,3,1.0
876329,2,1.0
882238,5,2.0
885496,0,10.0
885526,2,0.0
855803,0,5.0
858347,0,3.0
876283,6,0.0
876294,4,0.0
876351,2,2.0
885284,2,4.0
885285,3,2.0
885286,1,0.0
885287,0,3.0
885288,3,3.0
885289,4,0.0
885525,3,0.0
858292,1,3.0
865435,3,1.0
876291,1,1.0
881884,3,0.0
856807,0,1.0
856810,2,1.0
856811,2,1.0
856992,1,4.0
856997,1,2.0
858289,1,2.0
858290,0,3.0
858293,1,0.0
858294,3,0.0
858336,0,3.0
858349,1,0.0
858352,3,2.0
865438,3,2.0
861285,1,0.0
861299,2,3.0
862222,0,1.0
871831,3,2.0
875122,2,1.0
860827,4,2.0
860830,1,0.0
860831,4,3.0
861284,1,1.0
861296,5,1.0
855321,1,4.0
875117,1,0.0
875118,1,2.0
875120,1,1.0
885502,2,4.0
885503,0,1.0
885543,1,0.0
885550,2,0.0
883555,1,1.0
885566,2,0.0
851132,2,1.0
854887,3,2.0
855318,1,2.0
856504,3,3.0
856505,1,5.0
856507,2,2.0
871835,2,6.0
876124,5,0.0
876126,2,2.0
876127,1,0.0
876130,2,1.0
882225,2,1.0
885501,0,2.0
885506,3,3.0
885507,3,0.0
885508,0,2.0
